osmid,y,x,street_count,highway,ref,geometry
544572,50.1977937,8.6394933,3,,,POINT (8.6394933 50.1977937)
544599,50.1380925,8.592525,3,motorway_junction,18,POINT (8.592525 50.1380925)
544600,50.1371635,8.5917204,3,,,POINT (8.5917204 50.1371635)
544610,50.1350217,8.586566,3,,,POINT (8.586566 50.1350217)
544660,50.1320495,8.5926883,3,,,POINT (8.5926883 50.1320495)
544680,50.1315777,8.5927491,3,,,POINT (8.5927491 50.1315777)
544708,50.1147127,8.6152654,3,,,POINT (8.6152654 50.1147127)
544713,50.1338315,8.6175126,3,,,POINT (8.6175126 50.1338315)
544723,50.1140925,8.5969306,3,,,POINT (8.5969306 50.1140925)
552619,50.1511655,8.6232379,3,,,POINT (8.6232379 50.1511655)
552623,50.1513557,8.6244517,3,,,POINT (8.6244517 50.1513557)
552629,50.1513939,8.6250303,3,,,POINT (8.6250303 50.1513939)
552631,50.1516473,8.6267955,4,,,POINT (8.6267955 50.1516473)
552636,50.1524715,8.6301179,3,,,POINT (8.6301179 50.1524715)
552638,50.1525676,8.6305932,3,,,POINT (8.6305932 50.1525676)
552639,50.1528969,8.6323146,3,,,POINT (8.6323146 50.1528969)
552642,50.1532499,8.6339624,3,,,POINT (8.6339624 50.1532499)
552651,50.1070833,8.6069722,3,,,POINT (8.6069722 50.1070833)
552659,50.1075397,8.6171595,3,,,POINT (8.6171595 50.1075397)
552679,50.1123041,8.627873,3,,,POINT (8.627873 50.1123041)
552682,50.1113135,8.6276535,4,,,POINT (8.6276535 50.1113135)
552695,50.1076823,8.618175,3,,,POINT (8.618175 50.1076823)
552699,50.1075555,8.6165839,3,,,POINT (8.6165839 50.1075555)
552704,50.1095825,8.6048282,3,traffic_signals,,POINT (8.6048282 50.1095825)
552706,50.1147762,8.6094412,3,,,POINT (8.6094412 50.1147762)
552713,50.1075488,8.6173992,3,,,POINT (8.6173992 50.1075488)
552714,50.1076087,8.6174838,3,,,POINT (8.6174838 50.1076087)
552814,50.1058251,8.5527108,3,,,POINT (8.5527108 50.1058251)
552817,50.1053891,8.5513925,3,,,POINT (8.5513925 50.1053891)
552832,50.1126385,8.5363516,3,,,POINT (8.5363516 50.1126385)
552844,50.1014722,8.5530642,4,traffic_signals,,POINT (8.5530642 50.1014722)
552850,50.1113324,8.537785,3,,,POINT (8.537785 50.1113324)
552852,50.1025785,8.5473831,3,,,POINT (8.5473831 50.1025785)
552862,50.1036711,8.546379,3,,,POINT (8.546379 50.1036711)
552866,50.1025189,8.5562541,3,,,POINT (8.5562541 50.1025189)
552869,50.0995642,8.5404089,4,,,POINT (8.5404089 50.0995642)
552876,50.1024132,8.5501744,3,,,POINT (8.5501744 50.1024132)
552877,50.1013532,8.5393687,4,,,POINT (8.5393687 50.1013532)
552888,50.1119109,8.5391202,4,,,POINT (8.5391202 50.1119109)
552889,50.1127543,8.5381592,3,,,POINT (8.5381592 50.1127543)
