element_type,osmid,access,amenity,fee,parking,geometry,created_by,capacity,capacity:disabled,capacity:parent,maxheight,name,opening_hours,operator,wheelchair,source,noexit,barrier,charge,layer,maxstay,capacity:women,operator:wikidata,operator:wikipedia,bicycle,foot,note,motorcar,park_ride,description,operator:type,surface,addr:street,addr:city,addr:country,addr:housenumber,addr:postcode,survey:date,covered,capacity:wheelchair,designation,highway,capacity:car,capacity:motorcycle,alt_name,traffic_sign,website,hgv,access:conditional,parking:orientation,nodes,supervised,building,building:facade:colour,building:levels,building:levels:underground,building:material,building:max_level,building:min_level,roof:colour,roof:levels,roof:shape,name:etymology:wikidata,toll,capacity:long,source:maxheight,lit,smoothness,source:position,height,check_date:opening_hours,toilets:wheelchair,landuse,location,nohousenumber,ref,unimainz:buildingId,capacity:charging,fixme,bridge,check_date:fee,tourist_bus,FIXME,orientation,parking:condition,ways,type
node,9104334865,private,parking,,surface,POINT (8.2629646 50.0142103),,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9223026289,yes,parking,yes,underground,POINT (8.2576599 50.0145441),,94,3,,2,Parkhaus Rheinallee III,24/7,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.parken-in-mainz.de/de/parkhaeuser-tarife/parkhaus-rheinallee-iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9223026290,private,parking,,underground,POINT (8.2542749 50.0162628),,183,,,2,Rheinkontor,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9312681713,private,parking,,underground,POINT (8.2251594 49.9943479),,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9325386436,private,parking,,underground,POINT (8.3049166 49.9771021),,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9517920158,,parking,,,POINT (8.333205 49.9556408),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9517920159,,parking,,,POINT (8.3332253 49.9563845),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9520501783,,parking,,lane,POINT (8.2296394 50.0255956),,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9529148330,,parking,,street_side,POINT (8.2555782 50.0062772),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE:286,1012-30,1042-31[Mo-Sa 08:00-19:00]",,,delivery @ (Mo-Sa 08:00-19:00),parallel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9529148331,,parking,,street_side,POINT (8.2559079 50.0061417),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE:286,1012-30,1042-31[Mo-Sa 08:00-19:00]",,,delivery @ (Mo-Sa 08:00-19:00),parallel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
