element_type,osmid,access,amenity,covered,fee,parking,geometry,nodes,area,capacity,parking_space
way,1133937099,,parking_space,,,,"POLYGON ((7.0015612 49.2340492, 7.0015904 49.2340383, 7.0015565 49.2339987, 7.0015465 49.2340024, 7.0015272 49.2340096, 7.0015612 49.2340492))","[10571713545, 10571713542, 10571713541, 10571713540, 10571713544, 10571713545]",,1,normal
way,1133937100,,parking_space,,,,"POLYGON ((7.0015319 49.2340602, 7.0015612 49.2340492, 7.0015272 49.2340096, 7.0015172 49.2340133, 7.0014979 49.2340205, 7.0015319 49.2340602))","[10571713549, 10571713545, 10571713544, 10571713543, 10571713548, 10571713549]",,1,normal
way,1133937101,,parking_space,,,,"POLYGON ((7.0015027 49.2340711, 7.0015319 49.2340602, 7.0014979 49.2340205, 7.0014879 49.2340242, 7.0014686 49.2340314, 7.0015027 49.2340711))","[10571713550, 10571713549, 10571713548, 10571713547, 10571713546, 10571713550]",,1,normal
way,1133937102,,parking_space,,,,"POLYGON ((7.0018223 49.2337349, 7.0018585 49.2337218, 7.0018253 49.2336807, 7.0017879 49.2336947, 7.0018223 49.2337349))","[10571713553, 10571713552, 10571713551, 10571713559, 10571713553]",,1,normal
way,1133937103,,parking_space,,,,"POLYGON ((7.0017263 49.2337706, 7.0017374 49.2337665, 7.0017556 49.2337597, 7.0017203 49.23372, 7.001692 49.2337306, 7.0017263 49.2337706))","[10571713555, 10571713568, 10571713557, 10571713556, 10571713554, 10571713555]",,1,normal
way,1133937104,,parking_space,,,,"POLYGON ((7.0017556 49.2337597, 7.001767 49.2337555, 7.0017849 49.2337488, 7.0017505 49.2337087, 7.0017203 49.23372, 7.0017556 49.2337597))","[10571713557, 10571713570, 10571713560, 10571713558, 10571713556, 10571713557]",,1,normal
way,1133937105,,parking_space,,,,"POLYGON ((7.0017849 49.2337488, 7.0017966 49.2337445, 7.0018223 49.2337349, 7.0017879 49.2336947, 7.0017505 49.2337087, 7.0017849 49.2337488))","[10571713560, 10571713571, 10571713553, 10571713559, 10571713558, 10571713560]",,1,normal
way,1133937106,,parking_space,,,,"POLYGON ((7.0018577 49.2337727, 7.0018835 49.233763, 7.0018651 49.2337317, 7.0018326 49.2337435, 7.0018377 49.2337495, 7.0018577 49.2337727))","[10571713565, 10571713562, 10571713561, 10573002434, 10571713564, 10571713565]",,1,normal
way,1133937107,,parking_space,,,,"POLYGON ((7.0018298 49.2337831, 7.0018577 49.2337727, 7.0018377 49.2337495, 7.0018097 49.2337598, 7.0018298 49.2337831))","[10571713572, 10571713565, 10571713564, 10571713563, 10571713572]",,1,normal
way,1133937108,,parking_space,,,,"POLYGON ((7.0017422 49.2338163, 7.0017714 49.2338052, 7.0017374 49.2337665, 7.0017263 49.2337706, 7.0017101 49.2337767, 7.0017078 49.2337775, 7.0017422 49.2338163))","[10571713567, 10571713569, 10571713568, 10571713555, 10571713575, 10571713566, 10571713567]",,1,normal
