u,v,key,osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,ref,width,access,service,bridge,junction,tunnel
20833853,9588386621,0,747397780,True,1,Domänenstraße,residential,False,26.512999999999998,30,"LINESTRING (6.6677013 49.7635988, 6.6675787 49.7635541, 6.6674661 49.7634982, 6.6674047 49.763459)",,,,,,,
20833853,9588383695,0,"[1041496024, 1041496025]",False,3,Im Avelertal,secondary,True,43.733000000000004,50,"LINESTRING (6.6677013 49.7635988, 6.6678761 49.7636015, 6.668044 49.7635957, 6.668211 49.7635838, 6.6682673 49.763579, 6.6683072 49.7635727)",,,,,,,
20833878,20833879,0,6073392,True,,Kohlenstraße,secondary,False,12.360000000000001,50,"LINESTRING (6.6835031 49.7521293, 6.6834796 49.752134, 6.6834556 49.7521373, 6.6834311 49.752139, 6.6834065 49.7521391, 6.6833821 49.7521377, 6.6833579 49.7521348, 6.6833343 49.7521304)",L 144,3,,,,roundabout,
20833878,247329186,0,14297237,True,1,Kohlenstraße,secondary,False,54.072,50,"LINESTRING (6.6835031 49.7521293, 6.6834962 49.7521397, 6.6834889 49.7521536, 6.6834828 49.7521657, 6.6834768 49.7521829, 6.6834731 49.7522011, 6.6834715 49.7522252, 6.6834727 49.7523555, 6.683464 49.7524008, 6.6834501 49.7524566, 6.6834265 49.7525048, 6.6833577 49.7525993)",L 144,2.5,,,,,
20833879,9588526351,0,6073392,True,,Kohlenstraße,secondary,False,25.981,50,"LINESTRING (6.6833343 49.7521304, 6.6833119 49.7521246, 6.6832905 49.7521174, 6.6832702 49.752109, 6.6832513 49.7520993, 6.6832339 49.7520885, 6.6832182 49.7520767, 6.6832043 49.752064, 6.6831924 49.7520505, 6.6831825 49.7520363, 6.6831748 49.7520215, 6.6831693 49.7520063, 6.6831661 49.7519909, 6.6831652 49.7519753, 6.6831666 49.7519598, 6.6831703 49.7519444)",L 144,3,,,,roundabout,
20833880,9588526379,0,6073392,True,,Kohlenstraße,secondary,False,21.216999999999995,50,"LINESTRING (6.6832637 49.7518482, 6.6832839 49.7518392, 6.6833054 49.7518315, 6.683328 49.7518251, 6.6833515 49.7518203, 6.6833755 49.7518169, 6.6834 49.7518151, 6.6834246 49.7518149, 6.6834491 49.7518162, 6.6834733 49.751819, 6.683497 49.7518234, 6.6835199 49.7518292, 6.6835418 49.7518365)",L 144,3,,,,roundabout,
20833883,5014424859,0,"[512869161, 512869162, 22957500, 512869164]",False,"['4', '3']",Kohlenstraße,secondary,False,103.095,,"LINESTRING (6.6841104 49.7516616, 6.6841655 49.7516287, 6.6842789 49.7515467, 6.6843787 49.7514609, 6.684607 49.7512643, 6.6847061 49.7511791, 6.684836 49.7510592, 6.6849827 49.750927)",L 144,,,,,,
20833883,9588526386,0,388705583,True,1,Kohlenstraße,secondary,False,46.47100000000001,50,"LINESTRING (6.6841104 49.7516616, 6.6839764 49.7517782, 6.6837763 49.7518648, 6.68374 49.7518796, 6.6837242 49.7518878, 6.6837085 49.7518969, 6.6836997 49.7519038, 6.6836867 49.7519173, 6.6836753 49.7519331, 6.6836644 49.7519522)",L 144,2.5,,,,,
20833888,3501606539,0,343291760,False,2,Kohlenstraße,secondary,False,16.082,50,"LINESTRING (6.6916461 49.7444947, 6.6917494 49.7443664)",L 144,,,,,,
20833888,289523812,0,6073583,False,3,Kohlenstraße,secondary,True,71.029,50,"LINESTRING (6.6916461 49.7444947, 6.6915746 49.7445846, 6.6911701 49.7450545)",L 144,,,,,,
20833909,1271427514,0,111644081,False,,,service,False,81.82900000000001,,"LINESTRING (6.6702051 49.7415514, 6.6701509 49.7414984, 6.6699816 49.7413332, 6.6699546 49.7412808, 6.6699384 49.7412249, 6.6700032 49.7408652)",,,,driveway,,,
